Host ID,Host Name,Neighborhood,District,Latitude,Longitude,Room Type,Minimum Nights,Reviews,Last Review,Monthly Reviews,Number of Listings,Days Available,Price
0,6,2,126,17,5,0,1,45,89,37.0,2,355,225
0,4,2,93,22,16,1,3,0,91,102.82029132801085,1,365,150
0,8,1,41,5,10,0,1,270,91,463.0,1,194,89
0,8,2,61,21,16,0,10,9,75,9.0,1,0,80
0,2,2,136,16,7,0,3,74,90,58.0,1,129,200
0,5,1,13,5,11,1,45,49,62,39.0,1,0,60
0,13,2,94,19,5,1,2,430,90,346.0,1,220,79
0,9,2,201,22,8,1,2,118,70,98.0,1,0,79
0,1,2,35,10,3,0,1,160,90,132.0,4,188,150
0,8,2,201,22,9,0,5,53,90,42.0,1,6,135
0,7,2,94,18,4,1,2,188,90,149.0,1,39,85
0,8,1,181,2,4,1,4,167,90,133.0,3,314,89
0,2,2,201,21,10,1,2,113,91,90.0,1,333,85
0,0,2,208,14,0,0,90,27,74,21.0,1,0,120
0,0,1,213,9,12,0,2,148,90,119.0,1,46,140
0,6,1,80,6,8,0,2,198,90,171.0,1,321,215
0,3,2,34,15,2,1,1,260,91,211.0,1,12,140
0,0,1,51,3,15,0,3,53,90,443.0,1,21,99
0,13,2,61,21,14,0,7,0,90,84.91846060363432,2,249,190
0,2,1,213,11,11,0,3,9,0,6.0,1,0,299
0,8,1,150,4,7,1,2,130,91,108.0,6,347,130
0,8,1,150,4,7,1,1,39,85,36.0,6,364,80
0,8,1,150,4,7,1,2,71,91,60.0,6,304,110
0,10,1,13,4,17,0,2,88,90,72.0,2,233,120
0,5,1,215,1,7,1,1,19,90,136.0,2,85,60
0,2,2,102,24,19,1,4,0,89,66.32103989013362,1,0,80
0,14,2,94,19,5,0,10,58,71,48.0,1,75,150
0,13,2,102,24,20,1,3,108,90,110.0,3,311,44
0,3,2,64,13,5,0,14,29,88,23.0,1,67,180
0,13,2,93,23,13,1,3,242,90,203.0,3,355,50
0,13,2,93,22,12,1,2,88,90,141.0,1,255,52
0,0,1,90,12,18,1,4,197,90,164.0,3,284,55
0,13,2,93,23,12,1,3,273,91,236.0,3,359,50
0,1,1,13,4,12,1,1,74,89,65.0,2,269,70
0,8,1,181,2,4,1,4,168,90,140.0,3,340,89
0,14,1,13,6,16,1,60,0,88,-4.158222172750811,1,365,35
0,14,1,28,8,19,0,2,231,90,195.0,2,22,85
0,5,1,74,0,9,1,1,0,88,51.43631029748988,1,365,150
0,1,2,118,10,4,2,1,214,91,180.0,4,188,40
0,4,2,64,12,6,1,2,245,90,207.0,2,96,68
0,0,1,181,2,6,0,3,15,89,38.0,1,345,120
0,14,1,80,7,7,1,7,25,84,22.0,1,311,120
0,3,2,201,21,6,1,4,81,90,68.0,1,273,135
0,3,2,93,22,15,0,7,97,90,83.0,1,309,150
0,11,1,158,1,9,0,29,11,90,48.0,1,95,150
0,11,3,116,16,15,1,3,248,91,224.0,1,215,130
0,0,1,13,4,11,0,7,61,89,51.0,1,265,110
0,6,1,13,5,17,0,3,11,61,9.0,1,0,115
0,0,1,80,6,7,1,3,135,90,115.0,2,192,80
0,5,1,13,4,17,1,1,112,90,100.0,3,251,80
0,7,2,201,21,8,0,2,73,91,62.0,1,302,151
0,6,1,213,8,18,0,3,82,89,69.0,1,140,228
0,6,1,90,14,12,0,2,328,90,281.0,1,234,144
0,4,2,111,15,6,0,7,19,87,21.0,1,257,200
0,6,1,213,9,10,0,30,105,90,89.0,1,30,150
0,1,2,118,12,3,1,5,19,89,16.0,1,301,110
0,8,2,94,17,3,1,2,289,90,248.0,2,294,69
0,0,1,90,12,18,1,4,138,90,118.0,3,320,49
0,13,2,177,12,2,0,30,21,90,29.0,1,154,180
0,3,1,213,10,9,1,2,42,90,37.0,1,263,80
0,3,2,200,19,13,0,2,66,87,56.0,2,231,250
0,3,1,157,3,9,0,30,143,85,132.0,2,297,200
0,11,1,41,6,8,1,7,27,72,22.0,2,292,55
0,9,2,94,18,3,1,30,191,89,164.0,1,191,52
0,12,1,150,3,5,0,3,4,72,15.0,1,0,225
0,11,2,64,13,6,1,1,338,91,471.0,2,72,80
0,3,1,213,9,8,0,1,148,90,139.0,1,362,275
0,2,2,64,12,5,1,1,106,90,125.0,2,336,99
0,12,2,61,22,17,0,4,190,90,163.0,1,215,225
0,1,2,64,12,6,0,9,49,80,42.0,1,116,230
0,4,2,94,18,4,1,7,23,90,42.0,1,88,51
0,14,2,205,23,17,1,2,49,90,159.0,2,336,65
0,5,1,41,4,9,1,2,105,90,91.0,1,304,105
0,7,2,64,13,4,0,5,21,85,19.0,1,224,190
0,14,2,200,19,13,1,1,142,91,149.0,1,322,200
0,7,3,218,16,22,1,30,25,89,21.0,1,324,70
0,1,1,80,7,8,1,3,143,90,127.0,1,132,95
0,3,2,34,15,1,1,3,167,89,164.0,1,295,150
0,8,1,213,10,10,1,3,61,88,53.0,4,238,145
0,13,2,93,23,13,0,31,54,87,48.0,1,209,110
0,6,2,118,11,4,0,5,70,90,61.0,1,328,285
0,4,1,74,1,9,0,6,16,90,14.0,1,38,130
0,0,2,118,10,4,1,30,94,88,83.0,1,188,94
0,13,1,213,11,11,0,3,61,83,52.0,1,272,105
0,4,2,64,12,5,1,3,194,90,172.0,1,26,60
0,11,2,64,13,6,1,1,2,53,4.0,1,0,50
0,8,1,213,10,9,1,3,174,90,153.0,4,288,85
4,1,1,28,8,18,1,4,24,89,27.0,1,317,65
0,12,1,157,4,8,0,4,166,90,339.0,1,207,131
0,4,1,41,5,9,1,7,16,89,19.0,6,185,98
0,14,1,157,4,8,0,7,21,89,29.0,1,158,250
0,2,1,213,9,11,0,5,168,82,156.0,1,0,100
0,14,1,28,8,20,0,3,118,90,104.0,2,9,105
0,3,2,201,21,10,0,3,81,91,70.0,1,198,140
0,4,2,93,23,15,1,1,1,74,10.0,1,365,89
0,11,2,34,15,1,1,30,30,89,26.0,2,364,98
0,12,1,13,4,20,0,7,139,74,122.0,2,311,125
0,13,2,93,23,13,1,3,11,85,86.0,3,219,60
0,1,1,31,4,1,0,2,233,90,208.0,3,342,175
0,9,2,205,24,16,1,2,68,7,59.0,1,312,65
0,12,1,213,10,16,1,3,335,89,301.0,1,152,101
0,2,1,150,2,6,0,30,88,75,78.0,1,9,220
0,12,1,13,4,20,0,90,162,90,145.0,2,137,125
0,4,1,213,10,14,0,30,29,80,39.0,1,222,80
0,3,2,93,22,16,1,2,170,90,160.0,1,346,100
0,6,1,84,4,3,0,30,19,66,19.0,1,208,200
0,8,2,94,17,3,1,2,334,90,299.0,2,279,59
0,4,1,41,5,9,1,2,19,90,19.0,6,250,125
0,12,2,64,13,6,0,7,12,64,12.0,1,164,140
0,3,1,181,2,4,0,30,467,76,421.0,2,192,120
0,10,2,111,15,6,0,5,38,40,37.0,1,260,199
0,0,1,213,12,11,0,3,324,90,300.0,1,107,325
0,13,2,201,20,7,0,6,27,88,26.0,1,199,235
0,2,2,64,13,6,0,1,115,90,104.0,4,299,225
0,4,1,181,2,5,1,2,354,89,319.0,3,20,99
0,4,2,93,23,14,0,2,195,91,202.0,1,318,170
0,13,2,201,20,7,0,7,13,90,11.0,1,224,170
0,6,2,64,12,5,0,4,25,0,22.0,1,0,100
0,7,1,158,1,10,1,2,9,74,7.0,1,324,75
17,6,1,213,11,9,1,1,9,4,7.0,1,245,90
0,8,2,200,20,14,0,5,21,71,18.0,1,189,150
0,4,2,205,24,19,1,15,36,71,32.0,1,307,85
0,1,1,13,4,12,1,3,63,89,57.0,2,310,70
0,8,2,93,23,14,0,3,155,90,141.0,3,213,120
0,2,1,41,4,9,1,3,260,91,234.0,1,278,89
0,14,2,64,12,3,0,5,73,90,65.0,1,209,185
0,13,1,90,14,14,1,3,193,89,185.0,1,0,50
0,3,2,118,10,4,0,3,32,90,28.0,1,16,105
0,8,2,94,19,5,1,2,50,89,44.0,3,234,130
1,14,2,208,14,1,0,29,26,91,24.0,1,12,115
1,13,1,76,0,18,1,2,2,85,1.0,1,178,77
1,14,1,41,5,9,1,2,426,90,388.0,3,275,76
1,8,1,13,4,18,0,3,227,90,208.0,2,163,125
0,12,1,41,5,8,1,4,84,91,76.0,3,365,135
1,0,1,90,14,12,0,29,3,70,2.0,1,34,250
1,4,1,213,11,14,0,3,10,81,9.0,1,280,199
1,12,1,43,5,3,0,2,4,55,3.0,1,0,140
1,4,3,77,15,24,1,2,1,4,0.0,1,1,140
1,8,1,13,4,18,0,3,124,90,171.0,2,170,115
1,7,1,213,11,17,0,3,11,91,10.0,1,188,160
1,10,1,213,11,10,0,4,240,90,218.0,1,214,195
